SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.144	NNNNNNNN	AAAAAAAA	S6	D12	2	144-D12-14828843	BJ 3D	11/15/2013	BJ	SALT	O	November	FALL	3	D	0.048701299	0.094155844	0.25	0.051948052	0.444805195	0.659090909	0.836956522	0.516129032	29.44383	-89.8875	281	Soil
S2.141	NNNNNNNN	AAAAAAAA	P6	D9	2	141-D9-14823863	BJ 5E	11/15/2013	BJ	SALT	O	November	FALL	5	E	0.063559322	0.088983051	0.139830508	0.063559322	0.355932203	0.583333333	0.6875	0.5	29.44341	-89.88676	364	Soil
S2.32	NNNNNNNN	AAAAAAAA	F1	C8	1	32-C8-14828853	BJ 6B	1/19/2013	BJ	SALT	O	January	WINTER	6	B	4.475961538	1.091346154	18.97596154	7.211538462	31.75480769	0.196027634	0.809143091	0.617030029	29.4442	-89.8883	194	Soil
S2.40	NNNNNNNN	AAAAAAAA	N1	D4	1	40-D4-14823875	BJ 5D	1/19/2013	BJ	SALT	O	January	WINTER	5	D	0.035377358	0.075471698	0.068396226	0.035377358	0.214622642	0.680851064	0.659090909	0.5	29.44357	-89.88705	318	Soil
S2.42	NNNNNNNN	AAAAAAAA	P1	D6	1	42-D6-14821853	BJ 7A	1/19/2013	BJ	SALT	O	January	WINTER	7	A	0.033185841	0.044247788	0.044247788	0.033185841	0.154867257	0.571428571	0.571428571	0.5	29.44481	-89.89011	1	Soil
S2.43	NNNNNNNN	AAAAAAAA	Q1	D7	1	43-D7-14823876	BJ 7D	1/19/2013	BJ	SALT	O	January	WINTER	7	D	0.028846154	0.044230769	0.067307692	0.028846154	0.169230769	0.605263158	0.7	0.5	29.44391	-89.88769	256	Soil
S2.44	NNNNNNNN	AAAAAAAA	R1	D8	1	44-D8-14823877	BJ 5C	1/19/2013	BJ	SALT	O	January	WINTER	5	C	0.347328244	0.053435115	0.541984733	0.074427481	1.017175573	0.133333333	0.60944206	0.176470588	29.44415	-89.88819	219	Soil
S2.45	NNNNNNNN	AAAAAAAA	S1	D9	1	45-D9-14823878	BJ 5A	6/26/2013	BJ	SALT	O	June	SUMMER	5	A	0.075	0.12	0.1	0.05	0.345	0.615384615	0.571428571	0.4	29.4446	-89.88957	70	Soil
S2.54	NNNNNNNN	AAAAAAAA	B2	E6	1	54-E6-14828858	BJ 6A	6/26/2013	BJ	SALT	O	June	SUMMER	6	A	0.075	0.095	0.1	0.06	0.33	0.558823529	0.571428571	0.444444444	29.4445	-89.8893	92	Soil
S2.57	NNNNNNNN	AAAAAAAA	E2	E9	1	57-combined-14828861	BJ 7B	6/26/2013	BJ	SALT	O	June	SUMMER	7	B	NA	NA	NA	NA	NA	NA	NA	NA	29.4445	-89.88916	108	Soil
S2.59	NNNNNNNN	AAAAAAAA	G2	E11	1	59-A1-14828862	BJ 5C	6/26/2013	BJ	SALT	O	June	SUMMER	5	C	0.16	0.095	1.25	0.305	1.81	0.37254902	0.886524823	0.655913978	29.44415	-89.88819	219	Soil
S2.60	NNNNNNNN	AAAAAAAA	H2	E12	1	60-A2-14821856	BJ 4C	1/19/2013	BJ	SALT	O	January	WINTER	4	C	0.054140127	0.046178344	0.046178344	0.02388535	0.170382166	0.46031746	0.46031746	0.306122449	29.4444	-89.8888	151	Soil
S2.63	NNNNNNNN	AAAAAAAA	K2	F3	1	63-F3-14821857	BJ 5D	6/26/2013	BJ	SALT	O	June	SUMMER	5	D	0.075	0.12	0.64	0.06	0.895	0.615384615	0.895104895	0.444444444	29.44357	-89.88705	318	Soil
S2.68	NNNNNNNN	AAAAAAAA	P2	F8	1	68-F8-14821858	BJ 3E	1/19/2013	BJ	SALT	O	January	WINTER	3	E	1.859848485	0.053030303	1.278409091	0.479166667	3.670454545	0.027722772	0.407362704	0.2048583	29.44329	-89.88662	388	Soil
S2.70	NNNNNNNN	AAAAAAAA	R2	F10	1	70-F10-14824851	BJ 6D	1/19/2013	BJ	SALT	O	January	WINTER	6	D	0.025862069	0.289655172	0.351724138	0.074137931	0.74137931	0.918032787	0.931506849	0.74137931	29.4437	-89.88729	297	Soil
S2.74	NNNNNNNN	AAAAAAAA	V2	G2	1	74-G2-14824852	BJ 3B	1/19/2013	BJ	SALT	O	January	WINTER	3	B	0.852201258	0.045597484	0.628930818	0.317610063	1.844339623	0.050788091	0.42462845	0.271505376	29.44438	-89.88868	157	Soil
S2.77	NNNNNNNN	AAAAAAAA	Z2	G5	1	77-G5-14824853	BJ 4C	6/26/2013	BJ	SALT	O	June	SUMMER	4	C	1.3	0.06	0.085	0.06	1.505	0.044117647	0.061371841	0.044117647	29.4444	-89.8888	151	Soil
S2.78	NNNNNNNN	AAAAAAAA	A3	G6	1	78-G6-14823889	BJ 6E	1/19/2013	BJ	SALT	O	January	WINTER	6	E	0.316091954	0.163793103	0.563218391	0.096264368	1.139367816	0.341317365	0.640522876	0.233449477	29.4435	-89.88689	340	Soil
S2.84	NNNNNNNN	AAAAAAAA	G3	G12	1	84-G12-14821860	BJ 7C	1/19/2013	BJ	SALT	O	January	WINTER	7	C	0.273148148	0.076388889	0.340277778	0.041666667	0.731481481	0.218543046	0.554716981	0.132352941	29.44427	-89.88844	185	Soil
S2.86	NNNNNNNN	AAAAAAAA	I3	H2	1	86-H2-14824854	BJ 7B	1/19/2013	BJ	SALT	O	January	WINTER	7	B	0.028195489	0.073308271	0.054511278	0.028195489	0.184210526	0.722222222	0.659090909	0.5	29.4445	-89.88916	108	Soil
S2.89	NNNNNNNN	AAAAAAAA	L3	H5	1	89-H5-14828866	BJ 6D	6/26/2013	BJ	SALT	O	June	SUMMER	6	D	0.027573529	0.038602941	0.213235294	0.03125	0.310661765	0.583333333	0.885496183	0.53125	29.4437	-89.88729	297	Soil
S2.95	NNNNNNNN	AAAAAAAA	S3	H11	1	95-H11-14798837	BJ 5A	1/19/2013	BJ	SALT	O	January	WINTER	5	A	0.020053476	0.061497326	0.049465241	0.020053476	0.151069519	0.754098361	0.711538462	0.5	29.4446	-89.88957	70	Soil
S2.97	NNNNNNNN	AAAAAAAA	U3	A1	2	97-Final Library-674493-12885877	BJ 3E	6/26/2013	BJ	SALT	O	June	SUMMER	3	E	0.030991736	0.047520661	0.041322314	0.030991736	0.150826446	0.605263158	0.571428571	0.5	29.44329	-89.88662	388	Soil
S2.14	NNNNNNNN	AAAAAAAA	N	B2	1	14-B2-14823861	ML2-1	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.08	0.1	0.05	0.305	0.516129032	0.571428571	0.4	29.13343	-90.145595	40	Soil
S2.56	NNNNNNNN	AAAAAAAA	D2	E8	1	56-combined-14828860	BJ 3C	6/26/2013	BJ	SALT	O	June	SUMMER	3	C	0.075	0.085	0.1	0.06	0.32	0.53125	0.571428571	0.444444444	29.44409	-89.88808	213	Soil
S2.79	NNNNNNNN	AAAAAAAA	B3	G7	1	79-G7-14828864	BJ 6C	1/19/2013	BJ	SALT	O	January	WINTER	6	C	0.03164557	0.03164557	0.083860759	0.037974684	0.185126582	0.5	0.726027397	0.545454545	29.444	-89.8879	236	Soil
S2.128	NNNNNNNN	AAAAAAAA	C6	C8	2	128-C8-14823850	ML2-1	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.044117647	0.058823529	0.085294118	0.044117647	0.232352941	0.571428571	0.659090909	0.5	29.13343	-90.145595	40	Soil
S2.132	NNNNNNNN	AAAAAAAA	G6	C12	2	132-C12-14823855	MM-4	12/3/2013	F	SALT	O	December	FALL	NA	MM	4.019417476	0.060679612	2.63592233	1.347087379	8.063106796	0.0148721	0.396061269	0.251017639	29.133354	-90.145454	30	Soil
S2.138	NNNNNNNN	AAAAAAAA	M6	D6	2	138-D6-14828842	ML2-4	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.014822134	0.02173913	0.029644269	0.014822134	0.081027668	0.594594595	0.666666667	0.5	29.133382	-90.145518	30	Soil
S2.139	NNNNNNNN	AAAAAAAA	N6	D7	2	139-D7-14823860	ML2-3	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.045180723	0.060240964	0.081325301	0.045180723	0.231927711	0.571428571	0.642857143	0.5	29.133382	-90.145518	30	Soil
S2.140	NNNNNNNN	AAAAAAAA	O6	D8	2	140-D8-14823862	ML2-9	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.057098765	0.097222222	0.165123457	0.080246914	0.399691358	0.63	0.743055556	0.584269663	29.133371	-90.145493	10	Soil
S2.17	NNNNNNNN	AAAAAAAA	Q	B5	1	17-B5-14824840	MM-3	7/10/2013	F	SALT	O	July	SUMMER	NA	MM	1.09	0.105	1.09	0.675	2.96	0.087866109	0.5	0.382436261	29.133358	-90.145421	20	Soil
S2.18	NNNNNNNN	AAAAAAAA	R	B6	1	18-B6-14821849	ML2-5	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.085	0.1	0.05	0.31	0.53125	0.571428571	0.4	29.133379	-90.145524	20	Soil
S2.19	NNNNNNNN	AAAAAAAA	S	B7	1	19-B7-14828848	MM-1	7/10/2013	F	SALT	O	July	SUMMER	NA	MM	0.18	0.095	0.1	0.06	0.435	0.345454545	0.357142857	0.25	29.133341	-90.145361	0	Soil
S2.1	NNNNNNNN	AAAAAAAA	A	A1	1	1-Final Library-674493-12886878	ML1-10	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.022727273	0.03030303	0.03030303	0.022727273	0.106060606	0.571428571	0.571428571	0.5	29.133361	-90.145345	0	Soil
S2.20	NNNNNNNN	AAAAAAAA	T	B8	1	20-B8-14828849	ML2-10	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	NA	NA	NA	NA	NA	NA	NA	NA	29.133364	-90.145498	0	Soil
S2.24	NNNNNNNN	AAAAAAAA	X	B12	1	24-B12-14828852	ML1-1	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.095	0.1	0.05	0.32	0.558823529	0.571428571	0.4	29.133472	-90.145354	40	Soil
S2.25	NNNNNNNN	AAAAAAAA	Y	C1	1	25-C1-14821850	ML1-2	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133472	-90.145354	40	Soil
