sampleid	site	season
S2_144	BJ	FALL
S2_141	BJ	FALL
S2_32	BJ	WINTER
S2_40	BJ	WINTER
S2_42	BJ	WINTER
S2_43	BJ	WINTER
S2_44	BJ	WINTER
S2_45	BJ	SUMMER
S2_54	BJ	SUMMER
S2_57	BJ	SUMMER
S2_59	BJ	SUMMER
S2_60	BJ	WINTER
S2_63	BJ	SUMMER
S2_68	BJ	WINTER
S2_70	BJ	WINTER
S2_74	BJ	WINTER
S2_77	BJ	SUMMER
S2_78	BJ	WINTER
S2_84	BJ	WINTER
S2_86	BJ	WINTER
S2_89	BJ	SUMMER
S2_95	BJ	WINTER
S2_97	BJ	SUMMER
S2_14	F	SUMMER
S2_56	BJ	SUMMER
S2_79	BJ	WINTER
S2_128	F	FALL
S2_132	F	FALL
S2_138	F	FALL
S2_139	F	FALL
S2_140	F	FALL
S2_17	F	SUMMER
S2_18	F	SUMMER
S2_19	F	SUMMER
S2_1	F	SUMMER
S2_20	F	SUMMER
S2_24	F	SUMMER
S2_25	F	FALL
S2_28	F	FALL
S2_29	F	FALL
S2_2	F	SUMMER
S2_30	F	FALL
S2_34	F	FALL
S2_37	F	WINTER
S2_41	BJ	WINTER
S2_46	F	WINTER
S2_47	BJ	WINTER
S2_50	BJ	WINTER
S2_53	F	WINTER
S2_55	F	WINTER
S2_5	F	SUMMER
S2_62	F	WINTER
S2_66	F	WINTER
S2_67	F	WINTER
S2_69	F	WINTER
S2_6	F	SUMMER
S2_72	F	WINTER
S2_73	BJ	WINTER
S2_75	F	WINTER
S2_80	F	WINTER
S2_82	F	WINTER
S2_83	BJ	WINTER
S2_85	F	WINTER
S2_98	F	WINTER
S2_99	BJ	WINTER
S2_142	BJ	FALL
S2_33	BJ	SUMMER
S2_36	BJ	SUMMER
S2_49	BJ	SUMMER
S2_65	BJ	SUMMER
S2_90	BJ	SUMMER
S2_91	BJ	SUMMER
S2_93	BJ	SUMMER
S2_145	BJ	FALL
S2_7	F	SUMMER
S2_87	BJ	SUMMER
S2_12	F	SUMMER
S2_21	F	SUMMER
S2_58	F	WINTER
S2_64	BJ	SUMMER
S2_88	BJ	SUMMER
S2_96	F	WINTER
S2_101	F	SUMMER
S2_103	F	SUMMER
S2_100	F	SUMMER
S2_107	F	SUMMER
S2_109	F	SUMMER
S2_111	F	SUMMER
S2_112	F	SUMMER
S2_115	F	SUMMER
S2_114	F	SUMMER
S2_116	F	SUMMER
S2_118	F	SUMMER
S2_119	F	SUMMER
S2_11	F	SUMMER
S2_127	F	FALL
S2_122	F	SUMMER
S2_129	F	FALL
S2_130	F	FALL
S2_131	F	FALL
S2_133	F	FALL
S2_136	F	FALL
S2_137	F	FALL
S2_13	F	SUMMER
S2_143	BJ	FALL
S2_146	BJ	FALL
S2_15	F	SUMMER
S2_16	F	SUMMER
S2_22	F	SUMMER
S2_23	F	SUMMER
S2_26	F	FALL
S2_38	F	FALL
S2_39	F	WINTER
S2_48	F	FALL
S2_4	F	SUMMER
S2_51	F	WINTER
S2_52	F	WINTER
S2_8	F	SUMMER
S2_92	F	WINTER
S2_94	F	WINTER
S2_120	F	SUMMER
S2_27	F	FALL
S2_31	F	WINTER
S2_3	F	SUMMER
S2_71	F	FALL
S2_106	F	SUMMER
S2_61	BJ	SUMMER
S2_76	BJ	WINTER
S2_102	F	SUMMER
S2_105	F	SUMMER
S2_10	F	SUMMER
S2_110	F	SUMMER
S2_113	F	SUMMER
S2_117	F	SUMMER
S2_121	F	SUMMER
S2_123	F	SUMMER
S2_134	F	FALL
S2_135	F	FALL
S2_35	F	WINTER
S2_81	F	WINTER
S2_9	F	SUMMER
S2_108	F	SUMMER
S2_104	F	SUMMER
