#SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_ACGT	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	compartment	genotype	zone	transect	phenanthrene_weath_ratio	dibenzothiophene_weath_ratio	total_PAH	total_chrysenes	total_phenanthrenes	total_dibenzothiphenes	Description
1	NNNNNNNN	AAAAAAAA	1	A	A1	1	1-Final Library-674493-12886878	ML1-10	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	NA	NA	0.012121212	0	0.006060606	0	Soil
2	NNNNNNNN	AAAAAAAA	2	B	A2	1	2-Final Library-674493-12883876	ML2-3	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	NA	NA	NA	NA	NA	NA	Soil
3	NNNNNNNN	AAAAAAAA	3	C	A3	1	3-A3-14824846	ML1-4	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.578947368	0.00621118	5.426791277	0.996884735	1.370716511	0.00623053	Soil
4	NNNNNNNN	AAAAAAAA	4	D	A4	1	4-A4-14823874	ML2-7	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	NA	NA	NA	NA	NA	NA	Soil
5	NNNNNNNN	AAAAAAAA	5	E	A5	1	5-A5-14823881	ML1-5	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.478753541	0	3.655423883	0.838650866	0.770282589	0	Soil
6	NNNNNNNN	AAAAAAAA	6	F	A6	1	6-A6-14821855	ML2-8	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	NA	NA	NA	NA	NA	NA	Soil
7	NNNNNNNN	AAAAAAAA	7	G	A7	1	7-A7-14823887	MM-2	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	MM	0.550122249	0.021276596	6.066945607	1.283124128	1.569037657	0.027894003	Soil
8	NNNNNNNN	AAAAAAAA	8	H	A8	1	8-A8-14823890	ML1-3	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
9	NNNNNNNN	AAAAAAAA	9	I	A9	1	9-A9-14823895	ML2-9	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	NA	NA	NA	NA	NA	NA	Soil
10	NNNNNNNN	AAAAAAAA	10	J	A10	1	10-A10-14828838	ML1-7	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.607287449	0.005128205	3.675579323	0.691622103	1.069518717	0.003565062	Soil
11	NNNNNNNN	AAAAAAAA	11	K	A11	1	11-A11-14821835	ML2-6	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	0.605080831	0	10.47511312	1.93438914	2.963800905	0	Soil
12	NNNNNNNN	AAAAAAAA	12	L	A12	1	12-A12-14823842	ML2-2	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	0.468438538	0	3.2875	0.666666667	0.5875	0	Soil
13	NNNNNNNN	AAAAAAAA	13	M	B1	1	13-B1-14823852	MM-4	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	MM	NA	NA	NA	NA	NA	NA	Soil
14	NNNNNNNN	AAAAAAAA	14	N	B2	1	14-B2-14823861	ML2-1	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	0.743315508	0.850931677	2.141914191	0.158415842	0.458745875	0.904290429	Soil
15	NNNNNNNN	AAAAAAAA	15	O	B3	1	15-B3-14823866	ML1-2	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.640186916	0.006451613	3.952277657	0.668112798	1.188720174	0.004338395	Soil
16	NNNNNNNN	AAAAAAAA	16	P	B4	1	16-B4-14798810	ML1-8	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
17	NNNNNNNN	AAAAAAAA	17	Q	B5	1	17-B5-14824840	MM-3	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	MM	0.625212947	0.228070175	5.648241206	1.105527638	1.844221106	0.326633166	Soil
18	NNNNNNNN	AAAAAAAA	18	R	B6	1	18-B6-14821849	ML2-5	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	0.396648045	0	6.492471213	1.91319752	1.257750221	0	Soil
19	NNNNNNNN	AAAAAAAA	19	S	B7	1	19-B7-14828848	MM-1	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	MM	0.563451777	0.011494253	4.94214876	0.947658402	1.223140496	0.011019284	Soil
20	NNNNNNNN	AAAAAAAA	20	T	B8	1	20-B8-14828849	ML2-10	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	NA	NA	NA	NA	NA	NA	Soil
21	NNNNNNNN	AAAAAAAA	21	U	B9	1	21-B9-14828850	ML2-4	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML2	0.707826087	0.066666667	3.291679366	0.512039012	1.240475465	0.036574215	Soil
22	NNNNNNNN	AAAAAAAA	22	V	B10	1	22-B10-14828851	ML1-6	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.524173028	0.010582011	2.79040404	0.590277778	0.650252525	0.006313131	Soil
23	NNNNNNNN	AAAAAAAA	23	W	B11	1	23-B11-14823869	ML1-9	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.989980306	0.285714286	319.0021575	3.12837109	309.0938511	1.251348436	Soil
24	NNNNNNNN	AAAAAAAA	24	X	B12	1	24-B12-14828852	ML1-1	7/10/2013	F	SALT	O	July	SUMMER	Soil	NA	NA	ML1	0.471264368	0	8.765957447	1.957446809	1.744680851	0	Soil
25	NNNNNNNN	AAAAAAAA	25	Y	C1	1	25-C1-14821850	ML1-2	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
26	NNNNNNNN	AAAAAAAA	26	Z	C2	1	26-C2-14823870	ML1-6	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
27	NNNNNNNN	AAAAAAAA	27	A1	C3	1	27-C3-14823871	ML1-1	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
28	NNNNNNNN	AAAAAAAA	28	B1	C4	1	28-C4-14798821	ML1-3	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
29	NNNNNNNN	AAAAAAAA	29	C1	C5	1	29-C5-14798822	ML1-8	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	0.048780488	0	0	0.036585366	Soil
30	NNNNNNNN	AAAAAAAA	30	D1	C6	1	30-C6-14821851	ML1-4	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
31	NNNNNNNN	AAAAAAAA	31	E1	C7	1	31-C7-14798823	ML1-1	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.006976744	0	0	0.002325581	Soil
32	NNNNNNNN	AAAAAAAA	32	F1	C8	1	32-C8-14828853	BJ 6B	1/19/2013	BJ	SALT	O	January	WINTER	Soil	6	B	NA	0.809143091	0.617030029	28.04807692	4.475961538	18.97596154	7.211538462	Soil
33	NNNNNNNN	AAAAAAAA	33	G1	C9	1	33-C9-14798824	BJ 3B	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	3	B	NA	0.878158338	0.588235294	9.640625	1.130208333	8.145833333	1.614583333	Soil
34	NNNNNNNN	AAAAAAAA	34	H1	C10	1	34-C10-14824847	ML1-7	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	0.051813472	0	0	0.041450777	Soil
35	NNNNNNNN	AAAAAAAA	35	I1	C11	1	35-C11-14823872	ML1-6	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.014285714	0	0	0.003571429	Soil
36	NNNNNNNN	AAAAAAAA	36	J1	C12	1	36-C12-14828854	BJ 4B	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	4	B	NA	0.914220126	0.666689895	444.0367647	35.16911765	374.8235294	70.34558824	Soil
37	NNNNNNNN	AAAAAAAA	37	K1	D1	1	37-D1-14824848	ML2-1	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	NA	NA	0.019379845	0	0	0	Soil
38	NNNNNNNN	AAAAAAAA	38	L1	D2	1	38-D2-14821852	ML1-5	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	0.018518519	0	0	0.00617284	Soil
39	NNNNNNNN	AAAAAAAA	39	M1	D3	1	39-D3-14823873	ML1-10	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.045454545	0	0.006060606	0.003030303	Soil
40	NNNNNNNN	AAAAAAAA	40	N1	D4	1	40-D4-14823875	BJ 5D	1/19/2013	BJ	SALT	O	January	WINTER	Soil	5	D	NA	NA	NA	0.094339623	0	0.033018868	0.009433962	Soil
41	NNNNNNNN	AAAAAAAA	41	O1	D5	1	41-D5-14824849	BJ 5E	1/19/2013	BJ	SALT	O	January	WINTER	Soil	5	E	NA	NA	NA	NA	NA	NA	NA	Soil
42	NNNNNNNN	AAAAAAAA	42	P1	D6	1	42-D6-14821853	BJ 7A	1/19/2013	BJ	SALT	O	January	WINTER	Soil	7	A	NA	NA	NA	0.013274336	0	0	0.004424779	Soil
43	NNNNNNNN	AAAAAAAA	43	Q1	D7	1	43-D7-14823876	BJ 7D	1/19/2013	BJ	SALT	O	January	WINTER	Soil	7	D	NA	NA	NA	0.065384615	0	0.038461538	0.003846154	Soil
44	NNNNNNNN	AAAAAAAA	44	R1	D8	1	44-D8-14823877	BJ 5C	1/19/2013	BJ	SALT	O	January	WINTER	Soil	5	C	NA	0.60944206	0.157407407	0.946564885	0.347328244	0.541984733	0.064885496	Soil
45	NNNNNNNN	AAAAAAAA	45	S1	D9	1	45-D9-14823878	BJ 5A	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	5	A	NA	NA	NA	0.012578616	0	0	0	Soil
46	NNNNNNNN	AAAAAAAA	46	T1	D10	1	46-D10-14823879	ML1-9b	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.028571429	0	0	0.007142857	Soil
47	NNNNNNNN	AAAAAAAA	47	U1	D11	1	47-D11-14823880	BJ 7E	1/19/2013	BJ	SALT	O	January	WINTER	Soil	7	E	NA	NA	NA	0.00295858	0	0	0	Soil
48	NNNNNNNN	AAAAAAAA	48	V1	D12	1	48-D12-14821854	ML1-10	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	0.013605442	0	0	0.006802721	Soil
49	NNNNNNNN	AAAAAAAA	49	W1	E1	1	49-E1-14798825	BJ 6B	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	6	B	NA	NA	NA	0.038461538	0	0.028846154	0	Soil
50	NNNNNNNN	AAAAAAAA	50	X1	E2	1	50-E2-14828855	BJ 4B	1/19/2013	BJ	SALT	O	January	WINTER	Soil	4	B	NA	NA	NA	0.016528926	0	0	0	Soil
51	NNNNNNNN	AAAAAAAA	51	Y1	E3	1	51-E3-14828856	MM2	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	MM	NA	NA	0.117647059	0	0.088235294	0.00245098	Soil
52	NNNNNNNN	AAAAAAAA	52	Z1	E4	1	52-E4-14823882	ML2-5	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	0.876190476	0.759259259	0.296610169	0.027542373	0.194915254	0.086864407	Soil
53	NNNNNNNN	AAAAAAAA	53	A2	E5	1	53-E5-14828857	ML1-8	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.076219512	0	0.042682927	0.009146341	Soil
54	NNNNNNNN	AAAAAAAA	54	B2	E6	1	54-E6-14828858	BJ 6A	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	6	A	NA	NA	NA	0.036144578	0	0	0.012048193	Soil
55	NNNNNNNN	AAAAAAAA	55	C2	E7	1	55-E7-14828859	ML1-2	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.014767932	0	0	0.002109705	Soil
56	NNNNNNNN	AAAAAAAA	56	D2	E8	1	56-combined-14828860	BJ 3C	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	3	C	NA	NA	NA	0.015748031	0	0	0.007874016	Soil
57	NNNNNNNN	AAAAAAAA	57	E2	E9	1	57-combined-14828861	BJ 7B	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	7	B	NA	NA	NA	NA	NA	NA	NA	Soil
58	NNNNNNNN	AAAAAAAA	58	F2	E10	1	58-combined-14798826	ML1-5	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.036931818	0	0	0.005681818	Soil
59	NNNNNNNN	AAAAAAAA	59	G2	E11	1	59-A1-14828862	BJ 5C	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	5	C	NA	0.886524823	0.636363636	1.684782609	0.173913043	1.358695652	0.304347826	Soil
60	NNNNNNNN	AAAAAAAA	60	H2	E12	1	60-A2-14821856	BJ 4C	1/19/2013	BJ	SALT	O	January	WINTER	Soil	4	C	NA	0.391304348	0	0.101910828	0.044585987	0.02866242	0	Soil
61	NNNNNNNN	AAAAAAAA	61	I2	F1	1	61-F1-14823883	BJ 5B	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	5	B	NA	NA	NA	0.0125	0	0	0	Soil
62	NNNNNNNN	AAAAAAAA	62	J2	F2	1	62-F2-14823884	ML1-3	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.603174603	0	0.420634921	0.01984127	Soil
63	NNNNNNNN	AAAAAAAA	63	K2	F3	1	63-F3-14821857	BJ 5D	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	5	D	NA	NA	NA	0.091954023	0	0	0.011494253	Soil
64	NNNNNNNN	AAAAAAAA	64	L2	F4	1	64-F4-14824850	BJ 6C	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	6	C	NA	NA	NA	0.007874016	0	0	0	Soil
65	NNNNNNNN	AAAAAAAA	65	M2	F5	1	65-F5-14798827	BJ 5E	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	5	E	NA	0.154661017	0	4.833333333	3.911764706	0.715686275	0	Soil
66	NNNNNNNN	AAAAAAAA	66	N2	F6	1	66-F6-14823885	ML2-8	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	NA	NA	0.021604938	0	0	0.00617284	Soil
67	NNNNNNNN	AAAAAAAA	67	O2	F7	1	67-F7-14823886	MM3	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	MM	0.851351351	0.706666667	1.298561151	0.158273381	0.90647482	0.381294964	Soil
68	NNNNNNNN	AAAAAAAA	68	P2	F8	1	68-F8-14821858	BJ 3E	1/19/2013	BJ	SALT	O	January	WINTER	Soil	3	E	NA	0.407004831	0.204213938	3.568181818	1.859848485	1.276515152	0.477272727	Soil
69	NNNNNNNN	AAAAAAAA	69	Q2	F9	1	69-F9-14798828	ML1-7	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.236842105	0	0.169172932	0.060150376	Soil
70	NNNNNNNN	AAAAAAAA	70	R2	F10	1	70-F10-14824851	BJ 6D	1/19/2013	BJ	SALT	O	January	WINTER	Soil	6	D	NA	NA	NA	0.675862069	0	0.351724138	0.065517241	Soil
71	NNNNNNNN	AAAAAAAA	71	S2	F11	1	71-F11-14823888	ML1-9	11/20/2013	F	SALT	O	November	FALL	Soil	NA	NA	ML1	NA	NA	NA	NA	NA	NA	Soil
72	NNNNNNNN	AAAAAAAA	72	T2	F12	1	72-F12-14821859	ML1-4	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML1	NA	NA	0.010362694	0	0	0.005181347	Soil
73	NNNNNNNN	AAAAAAAA	73	U2	G1	1	73-G1-14798829	BJ 3D	1/19/2013	BJ	SALT	O	January	WINTER	Soil	3	D	NA	NA	NA	0.075418994	0	0.047486034	0.008379888	Soil
74	NNNNNNNN	AAAAAAAA	74	V2	G2	1	74-G2-14824852	BJ 3B	1/19/2013	BJ	SALT	O	January	WINTER	Soil	3	B	NA	0.418454936	0.261580381	1.789308176	0.852201258	0.613207547	0.301886792	Soil
75	NNNNNNNN	AAAAAAAA	75	W2	G3	1	75-G3-14798830	ML2-10	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	NA	NA	0.042857143	0	0.00952381	0.023809524	Soil
76	NNNNNNNN	AAAAAAAA	76	X2	G4	1	76-combined-14828863	BJ 3C	1/19/2013	BJ	SALT	O	January	WINTER	Soil	3	C	NA	NA	NA	0.003759398	0	0	0	Soil
77	NNNNNNNN	AAAAAAAA	77	Z2	G5	1	77-G5-14824853	BJ 4C	6/26/2013	BJ	SALT	O	June	SUMMER	Soil	4	C	NA	0.076923077	0.076923077	0.178571429	0.142857143	0.011904762	0.011904762	Soil
78	NNNNNNNN	AAAAAAAA	78	A3	G6	1	78-G6-14823889	BJ 6E	1/19/2013	BJ	SALT	O	January	WINTER	Soil	6	E	NA	0.640522876	0.219858156	1.094827586	0.316091954	0.563218391	0.08908046	Soil
79	NNNNNNNN	AAAAAAAA	79	B3	G7	1	79-G7-14828864	BJ 6C	1/19/2013	BJ	SALT	O	January	WINTER	Soil	6	C	NA	0.791666667	0.583333333	0.101265823	0.015822785	0.060126582	0.022151899	Soil
80	NNNNNNNN	AAAAAAAA	80	C3	G8	1	80-G8-14823891	MM1	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	MM	NA	NA	0.015337423	0	0	0	Soil
81	NNNNNNNN	AAAAAAAA	81	D3	G9	1	81-combined-14823892	ML2-6	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	NA	NA	0.019354839	0	0	0.009677419	Soil
82	NNNNNNNN	AAAAAAAA	82	E3	G10	1	82-G10-14823893	ML2-3	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	0.783216783	0.62195122	0.433333333	0.060784314	0.219607843	0.1	Soil
83	NNNNNNNN	AAAAAAAA	83	F3	G11	1	83-G11-14823894	BJ 3A	1/19/2013	BJ	SALT	O	January	WINTER	Soil	3	A	NA	0.945652174	0.716981132	1.018918919	0.040540541	0.705405405	0.102702703	Soil
84	NNNNNNNN	AAAAAAAA	84	G3	G12	1	84-G12-14821860	BJ 7C	1/19/2013	BJ	SALT	O	January	WINTER	Soil	7	C	NA	0.546153846	0.092307692	0.657407407	0.273148148	0.328703704	0.027777778	Soil
85	NNNNNNNN	AAAAAAAA	85	H3	H1	1	85-H1-14821861	ML2-2	1/18/2013	F	SALT	O	January	WINTER	Soil	NA	NA	ML2	NA	NA	0.119402985	0	0.041044776	0.041044776	Soil
86	NNNNNNNN	AAAAAAAA	86	I3	H2	1	86-H2-14824854	BJ 7B	1/19/2013	BJ	SALT	O	January	WINTER	Soil	7	B	NA	NA	NA	0.082706767	0	0.026315789	0.003759398	Soil
